,Title,Price,Link
10,"ASUS Vivobook 15, IntelCore i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8 GB RAM/512GB SSD/Win11/Office 2021/Backlit/42WHr/1.70/Blue), X1504ZA-NJ326WS  ","34,990",https://amazon.in//ASUS-Vivobook-IntelCore-i3-1215U-X1504ZA-NJ326WS/dp/B0CCP95D4Y/ref=sr_1_232?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M&dib_tag=se&keywords=Laptop&qid=1732391208&sprefix=laptop%2Caps%2C259&sr=8-232
11,"(Refurbished) Lenovo ThinkPad 4th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/500 GB HDD/12.5"" (31.7 cm)/Windows 10/MS Office/WiFi/Bluetooth 4.0/Webcam/Integrated Graphics)  ","12,400",https://amazon.in//Lenovo-ThinkPad-Bluetooth-Integrated-Graphics/dp/B0BGHPB8VH/ref=sr_1_233?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M&dib_tag=se&keywords=Laptop&qid=1732391208&sprefix=laptop%2Caps%2C259&sr=8-233
12,"ASUS TUF Gaming F15, 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i7-12700H 12th Gen, 4GB NVIDIA RTX 3050, Gaming Laptop (16GB/1TB SSD/Win11/MSO/90WHrs Battery/Gray/2.20 Kg), FX577ZC-HN192WS  ","84,990",https://amazon.in//ASUS-15-6-inch-i7-12700H-Battery-FX577ZC-HN192WS/dp/B0CRR4RDP9/ref=sr_1_234?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M&dib_tag=se&keywords=Laptop&qid=1732391208&sprefix=laptop%2Caps%2C259&sr=8-234
13,"Lenovo V15 G3 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" FHD Display/Iron Grey/1.7 kg/MS Office 2021 Pro Plus  ","34,241",https://amazon.in//Lenovo-V15-Intel-Core-1215U/dp/B0B4B4TF6K/ref=sr_1_120?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PXkbWX6kQRkcVxyeuv9xYiqr5d46MqF83zYcKZqKMJ6rGnwsstLyUL6Cwgr3LHA0_Q3IB4LOWookwCtyom5mhMkbCSliUsyXkGyKwNHR2saJVMNEjnuibsYCUokPR2kWJHObU5KfUOdtqn3dEzMY9AH5nWWm8zjkqrj5GJPya1ooaqvMVHZpA5wg0rCB_BP99uEdq-amllsmBdItBidF28Zz93SY_tY2Cia_HM750aQ.fd6vHIenfa6LZ_Rcl00wzNlSlnI-_aApCXzSBxrLySo&dib_tag=se&keywords=Laptop&qid=1732391179&sprefix=laptop%2Caps%2C259&sr=8-120
14,"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i7 Thin & Light Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/WiFi/Bluetooth 4.1/Webcam/Integrated Graphics)  ","19,974",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MDk5NjA1OTQyMzIxNjA5OjE3MzIzOTEyMDg6c3BfbXRmOjMwMDI4OTE2Njc2MzQzMjo6MDo6&url=%2FRefurbished-Lenovo-ThinkPad-Bluetooth-Integrated%2Fdp%2FB0D9BZZJ9G%2Fref%3Dsr_1_235_sspa%3Fcrid%3D2GBCZSU9R85XX%26dib%3DeyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1732391208%26sprefix%3Dlaptop%252Caps%252C259%26sr%3D8-235-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
15,(Refurbished) Dell Latitude 3410 10th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel UHD Graphics)  ,"23,999",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MDk5NjA1OTQyMzIxNjA5OjE3MzIzOTEyMDg6c3BfbXRmOjMwMDQxNDc5NzcyMzUzMjo6MDo6&url=%2FRefurbished-Dell-Latitude-Windows-Graphics%2Fdp%2FB0D98HXK35%2Fref%3Dsr_1_236_sspa%3Fcrid%3D2GBCZSU9R85XX%26dib%3DeyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1732391208%26sprefix%3Dlaptop%252Caps%252C259%26sr%3D8-236-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
16,"Dell Gaming G15-5530 Laptop, Intel 13th Gen i7-13650HX Processor, 16GB DDR5 + 1TB SSD, NVIDIA RTX 3050 6 GB GDDR6, 15.6"" (39.62cm) FHD Narrow 120Hz, 4-Zone RGB Backlit KB, Dark Shadow Gray, 2.65 Kg  ","96,990",https://amazon.in//Dell-G15-5530-i7-13650HX-Processor-39-62cm/dp/B0D836HWHX/ref=sr_1_237?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M&dib_tag=se&keywords=Laptop&qid=1732391208&sprefix=laptop%2Caps%2C259&sr=8-237
17,"HP Laptop 250 G9 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" (39.62cm) FHD/Silver/1.57 kg/MS Office 2021 Pro Plus  ","58,500",https://amazon.in//HP-Laptop-250-Intel-1235U/dp/B0DJCTS4N4/ref=sr_1_238?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M&dib_tag=se&keywords=Laptop&qid=1732391208&sprefix=laptop%2Caps%2C259&sr=8-238
18,"Dell Alienware m18 R1, Core i9-13980HX| NVIDIA RTX 4090, 16GB|64GB RAM|1TB SSD, FHD|Window 11|MS Office' 21|18.0"" (45.72cm)|Dark Metallic Moon|2.72Kg|Gaming Laptop  ","3,94,761",https://amazon.in//Dell-Alienware-i9-13980HX-Processor-Metallic/dp/B0C9F1VXCJ/ref=sr_1_239?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M&dib_tag=se&keywords=Laptop&qid=1732391208&sprefix=laptop%2Caps%2C259&sr=8-239
19,"HP Probook 635 Aero G8 Notebook Pc, AMD Ryzen 5 13.3 Inches Fhd, IPS, Anti-Glare Display (8Gb Ram/512Gb Ssd/Windows 10/Pike Silver Aluminium/0.99 Kg) - 4Q1T0Pa  ","69,990",https://amazon.in//HP-Notebook-13-3-inch-Anti-Glare-Aluminium/dp/B09P482HJ6/ref=sr_1_240?crid=2GBCZSU9R85XX&dib=eyJ2IjoiMSJ9.PJmva1qbrALLXUViB5FZiQuz_S608B1hue7gC95Xr2aAngYGjtMTsEz2QXglOONMwMGBqohJupTeo_OUF6x2Uu-NnzmUDGP_6dfnlgnNUQoYcz0Q77wtuqXRzbJtqlbi8aooyhmHgZ2NoSMTjscFzCA7TOXik5mq2tWSn7Y0j2oixjh7vsUhFx8yXvpLzFDR8CU8VHMEXamfvruu_DseLko6YdUJz9BIbJqhDn6r_Qg.vpYBxojFrLln1QuLOW9n2OVVwpsqExPc_3ewtibDZ3M&dib_tag=se&keywords=Laptop&qid=1732391208&sprefix=laptop%2Caps%2C259&sr=8-240
